"user_id","last_order_time"
1,"2022-09-02 02:36:00+03"
2,"2022-08-28 18:11:00+03"
3,"2022-09-01 08:53:00+03"
4,"2022-08-27 16:06:00+03"
5,"2022-08-24 12:34:00+03"
6,"2022-08-25 00:38:00+03"
7,"2022-09-03 11:07:00+03"
8,"2022-09-07 20:52:00+03"
9,"2022-08-28 00:58:00+03"
10,"2022-09-08 10:24:00+03"
11,"2022-08-24 15:54:00+03"
12,"2022-09-06 07:23:00+03"
13,"2022-09-04 05:04:00+03"
14,"2022-09-04 08:56:00+03"
15,"2022-09-01 11:36:00+03"
16,"2022-09-02 19:52:00+03"
17,"2022-08-31 14:39:00+03"
18,"2022-09-07 20:07:00+03"
19,"2022-08-28 13:51:00+03"
20,"2022-08-28 20:11:00+03"
21,"2022-09-06 22:53:00+03"
22,"2022-08-31 10:46:00+03"
23,"2022-08-29 22:45:00+03"
24,"2022-08-24 18:20:00+03"
25,"2022-09-02 19:27:00+03"
26,"2022-08-24 18:42:00+03"
27,"2022-09-06 20:55:00+03"
28,"2022-09-08 14:20:00+03"
29,"2022-09-02 20:33:00+03"
30,"2022-09-04 17:36:00+03"
31,"2022-09-08 14:44:00+03"
32,"2022-08-24 22:52:00+03"
33,"2022-09-06 14:58:00+03"
34,"2022-09-04 18:21:00+03"
35,"2022-08-24 19:05:00+03"
36,"2022-08-27 01:43:00+03"
37,"2022-09-07 23:25:00+03"
38,"2022-08-31 14:33:00+03"
39,"2022-09-04 12:47:00+03"
40,"2022-09-01 17:39:00+03"
41,"2022-08-28 21:23:00+03"
42,"2022-08-24 19:25:00+03"
43,"2022-08-24 19:29:00+03"
44,"2022-08-29 02:43:00+03"
45,"2022-08-28 08:24:00+03"
46,"2022-09-04 12:41:00+03"
47,"2022-08-28 15:06:00+03"
48,"2022-09-04 18:46:00+03"
49,"2022-09-03 02:57:00+03"
50,"2022-09-04 14:18:00+03"
51,"2022-08-27 11:11:00+03"
52,"2022-08-28 21:51:00+03"
53,"2022-09-03 23:10:00+03"
54,"2022-08-30 17:07:00+03"
55,"2022-08-30 09:12:00+03"
56,"2022-08-24 20:16:00+03"
57,"2022-09-08 23:53:00+03"
58,"2022-08-27 19:49:00+03"
59,"2022-08-31 20:26:00+03"
60,"2022-08-31 19:57:00+03"
61,"2022-09-08 03:58:00+03"
62,"2022-08-29 22:28:00+03"
63,"2022-09-01 21:10:00+03"
64,"2022-09-01 07:10:00+03"
65,"2022-09-03 09:04:00+03"
66,"2022-08-24 20:47:00+03"
67,"2022-09-07 13:55:00+03"
